Unnamed: 0,S1(换乘站),S2,S3(换乘站),S4,S5(换乘站),S6,S7(换乘站),S8(换乘站),S9,S10,S11,S12(换乘站),S13,S14,S15,S16,S17,S18,S19,S20,S21,S22
08:00:00,3,4,3,1,12,3,7,3,2,1,7,2,5,1,1,0,0,1,0,1,0,0
08:00:10,3,4,8,1,4,8,2,3,2,1,7,2,2,1,1,0,0,0,0,0,0,0
08:00:20,3,11,3,1,4,3,7,3,2,1,2,2,2,5,1,0,0,0,1,0,0,0
08:00:30,3,4,8,4,4,3,2,3,2,1,2,6,5,5,1,0,0,0,1,0,0,0
08:00:40,3,11,8,4,4,8,2,10,2,2,7,7,2,1,2,0,0,0,1,0,0,0
08:00:50,11,4,3,1,12,3,7,3,2,2,3,2,5,1,1,0,0,0,1,0,0,0
08:01:00,3,4,8,1,12,3,2,3,2,1,7,7,5,1,1,0,0,0,0,0,0,0
08:01:10,3,4,3,1,12,8,2,3,2,2,3,7,2,1,1,0,0,0,0,0,0,0
08:01:20,3,4,2,1,4,8,2,10,1,1,7,2,2,1,2,0,0,0,0,0,0,0
08:01:30,3,11,2,1,4,3,2,3,1,2,2,2,2,5,1,0,0,1,0,0,0,0
08:01:40,11,4,8,1,12,8,2,10,1,1,2,2,2,1,2,0,0,0,1,0,0,0
08:01:50,3,4,8,1,4,3,2,10,2,1,2,7,2,1,1,0,0,0,0,0,0,0
08:02:00,11,11,3,4,4,3,2,3,1,2,7,2,2,5,1,0,0,0,0,0,0,0
08:02:10,3,11,2,4,12,3,2,3,1,1,7,2,2,5,2,0,0,0,0,1,0,0
08:02:20,3,4,2,4,4,3,2,3,5,2,7,2,2,1,1,1,0,0,0,1,0,0
08:02:30,11,4,2,4,4,3,2,3,5,2,2,2,2,5,1,0,0,0,1,1,0,0
08:02:40,3,4,8,4,4,3,7,3,5,2,2,7,2,1,2,0,0,0,0,0,0,0
08:02:50,11,4,8,4,4,3,2,3,2,1,2,2,2,5,1,1,0,0,0,0,0,0
08:03:00,3,4,2,4,4,3,2,3,2,2,2,2,5,1,2,0,0,1,0,1,0,0
08:03:10,3,4,8,1,4,3,2,3,5,2,2,2,5,1,1,0,0,0,0,1,0,0
08:03:20,3,4,2,1,12,3,2,3,2,2,7,2,5,1,2,1,0,1,0,0,0,0
08:03:30,11,12,2,1,4,8,2,3,2,1,2,2,2,5,2,1,0,1,0,0,0,0
08:03:40,3,4,2,4,4,8,7,10,2,2,2,7,2,1,1,0,0,0,1,0,0,0
08:03:50,11,4,2,1,4,3,2,10,2,1,2,2,2,5,1,1,0,1,0,0,0,0
08:04:00,11,4,2,1,4,3,7,3,1,1,7,7,6,1,1,0,0,0,1,1,0,0
08:04:10,3,4,2,4,13,3,2,3,5,1,7,7,2,1,1,0,0,0,0,0,0,0
08:04:20,3,4,8,1,4,3,2,3,1,1,2,2,6,1,1,0,0,0,0,1,0,0
08:04:30,3,12,2,1,4,3,7,3,1,2,7,2,6,1,1,0,0,0,0,0,0,0
08:04:40,3,4,2,1,4,3,2,10,1,1,7,2,6,5,2,0,0,0,0,0,0,0
08:04:50,3,12,8,1,4,3,2,10,5,2,2,2,2,1,1,1,0,0,0,0,0,0
08:05:00,11,4,2,1,13,8,2,3,5,1,7,2,5,1,1,0,0,0,0,1,0,0
08:05:10,3,4,8,1,4,3,2,10,5,2,2,2,2,5,1,0,0,1,0,0,0,0
08:05:20,4,4,3,1,4,3,7,3,2,1,2,6,2,2,2,0,0,0,0,0,0,0
08:05:30,11,4,3,4,4,3,2,3,2,1,7,7,6,2,1,0,0,0,0,0,0,0
08:05:40,4,12,3,1,4,3,2,10,2,1,2,2,2,2,1,0,0,0,0,0,0,0
08:05:50,11,12,2,1,4,3,2,3,2,2,2,2,2,2,1,0,0,0,1,0,0,0
08:06:00,4,4,8,1,4,3,2,10,2,1,2,2,2,5,1,0,0,0,0,0,0,0
08:06:10,4,4,3,4,4,8,2,10,2,1,2,2,2,2,1,0,0,1,0,0,0,0
08:06:20,4,4,2,1,4,3,2,3,2,1,2,2,2,2,1,0,0,0,0,0,0,0
08:06:30,4,4,2,1,4,3,2,3,5,1,2,2,2,2,2,0,0,0,1,0,0,0
08:06:40,4,4,8,4,4,8,2,10,2,1,2,2,2,5,1,0,0,1,0,1,0,0
