station,time_window,平均离站拥挤度,车站走行时间,站台拥挤度
S1,8:00-8:15,13.52%,162,0.12
S1,8:15-8:30,21.45%,173 ,0.24
S1,8:30-8:45,42.74%,212 ,0.43
S1,8:45-9:00,39.94%,267 ,0.59
S1,9:00-9:15,24.91%,265 ,0.48
S1,9:15-9:30,16.96%,179 ,0.28
S1,9:30-9:45,15.17%,167 ,0.17 
S1,9:45-10:00,4.66%,160 ,0.07 
S10,8:00-8:15,7.01%,,
S10,8:15-8:30,11.81%,,
S10,8:30-8:45,26.30%,,
S10,8:45-9:00,32.94%,,
S10,9:00-9:15,10.71%,,
S10,9:15-9:30,48.14%,,
S10,9:30-9:45,24.61%,,
S10,9:45-10:00,48.40%,,
S11,8:00-8:15,7.24%,,
S11,8:15-8:30,7.84%,,
S11,8:30-8:45,11.69%,,
S11,8:45-9:00,18.88%,,
S11,9:00-9:15,16.70%,,
S11,9:15-9:30,37.82%,,
S11,9:30-9:45,37.68%,,
S11,9:45-10:00,31.19%,,
S12,8:00-8:15,3.89%,,
S12,8:15-8:30,10.34%,,
S12,8:30-8:45,8.19%,,
S12,8:45-9:00,15.08%,,
S12,9:00-9:15,9.31%,,
S12,9:15-9:30,31.12%,,
S12,9:30-9:45,34.70%,,
S12,9:45-10:00,30.13%,,
S13,8:00-8:15,4.26%,,
S13,8:15-8:30,5.36%,,
S13,8:30-8:45,6.50%,,
S13,8:45-9:00,6.57%,,
S13,9:00-9:15,4.42%,,
S13,9:15-9:30,24.63%,,
S13,9:30-9:45,34.19%,,
S13,9:45-10:00,33.70%,,
S14,8:00-8:15,4.80%,,
S14,8:15-8:30,3.37%,,
S14,8:30-8:45,3.20%,,
S14,8:45-9:00,3.05%,,
S14,9:00-9:15,4.19%,,
S14,9:15-9:30,15.19%,,
S14,9:30-9:45,42.70%,,
S14,9:45-10:00,32.75%,,
S15,8:00-8:15,2.99%,,
S15,8:15-8:30,3.23%,,
S15,8:30-8:45,1.73%,,
S15,8:45-9:00,1.88%,,
S15,9:00-9:15,2.33%,,
S15,9:15-9:30,11.15%,,
S15,9:30-9:45,36.47%,,
S15,9:45-10:00,40.23%,,
S16,8:00-8:15,0.48%,,
S16,8:15-8:30,2.53%,,
S16,8:30-8:45,0.28%,,
S16,8:45-9:00,0.27%,,
S16,9:00-9:15,0.31%,,
S16,9:15-9:30,2.88%,,
S16,9:30-9:45,34.91%,,
S16,9:45-10:00,31.81%,,
S17,8:00-8:15,0.11%,,
S17,8:15-8:30,0.86%,,
S17,8:30-8:45,0.04%,,
S17,8:45-9:00,0.08%,,
S17,9:00-9:15,0.09%,,
S17,9:15-9:30,0.05%,,
S17,9:30-9:45,30.36%,,
S17,9:45-10:00,32.08%,,
S18,8:00-8:15,0.34%,,
S18,8:15-8:30,0.58%,,
S18,8:30-8:45,0.47%,,
S18,8:45-9:00,0.80%,,
S18,9:00-9:15,0.59%,,
S18,9:15-9:30,0.87%,,
S18,9:30-9:45,24.83%,,
S18,9:45-10:00,37.86%,,
S19,8:00-8:15,0.43%,,
S19,8:15-8:30,0.63%,,
S19,8:30-8:45,0.56%,,
S19,8:45-9:00,0.52%,,
S19,9:00-9:15,0.53%,,
S19,9:15-9:30,0.71%,,
S19,9:30-9:45,17.32%,,
S19,9:45-10:00,37.34%,,
S2,8:00-8:15,19.84%,,
S2,8:15-8:30,34.43%,,
S2,8:30-8:45,71.01%,,
S2,8:45-9:00,47.12%,,
S2,9:00-9:15,34.25%,,
S2,9:15-9:30,32.50%,,
S2,9:30-9:45,47.57%,,
S2,9:45-10:00,29.02%,,
S20,8:00-8:15,0.36%,,
S20,8:15-8:30,0.31%,,
S20,8:30-8:45,0.28%,,
S20,8:45-9:00,0.30%,,
S20,9:00-9:15,0.25%,,
S20,9:15-9:30,0.39%,,
S20,9:30-9:45,12.84%,,
S20,9:45-10:00,36.84%,,
S21,8:00-8:15,0.00%,,
S21,8:15-8:30,0.00%,,
S21,8:30-8:45,0.05%,,
S21,8:45-9:00,0.05%,,
S21,9:00-9:15,0.05%,,
S21,9:15-9:30,0.09%,,
S21,9:30-9:45,2.87%,,
S21,9:45-10:00,40.31%,,
S22,8:00-8:15,0.00%,,
S22,8:15-8:30,0.00%,,
S22,8:30-8:45,0.00%,,
S22,8:45-9:00,0.00%,,
S22,9:00-9:15,0.00%,,
S22,9:15-9:30,0.00%,,
S22,9:30-9:45,0.00%,,
S22,9:45-10:00,30.09%,,
S3,8:00-8:15,19.66%,,
S3,8:15-8:30,44.03%,,
S3,8:30-8:45,86.69%,,
S3,8:45-9:00,49.83%,,
S3,9:00-9:15,53.04%,,
S3,9:15-9:30,36.42%,,
S3,9:30-9:45,48.38%,,
S3,9:45-10:00,31.36%,,
S4,8:00-8:15,16.15%,,
S4,8:15-8:30,41.52%,,
S4,8:30-8:45,53.58%,,
S4,8:45-9:00,65.49%,,
S4,9:00-9:15,54.19%,,
S4,9:15-9:30,42.50%,,
S4,9:30-9:45,51.66%,,
S4,9:45-10:00,35.27%,,
S5,8:00-8:15,14.12%,,
S5,8:15-8:30,58.00%,,
S5,8:30-8:45,59.59%,,
S5,8:45-9:00,99.97%,,
S5,9:00-9:15,83.65%,,
S5,9:15-9:30,50.34%,,
S5,9:30-9:45,55.88%,,
S5,9:45-10:00,35.61%,,
S6,8:00-8:15,4.69%,,
S6,8:15-8:30,22.46%,,
S6,8:30-8:45,25.61%,,
S6,8:45-9:00,19.35%,,
S6,9:00-9:15,48.99%,,
S6,9:15-9:30,27.38%,,
S6,9:30-9:45,26.05%,,
S6,9:45-10:00,40.61%,,
S7,8:00-8:15,4.71%,,
S7,8:15-8:30,13.31%,,
S7,8:30-8:45,33.93%,,
S7,8:45-9:00,14.29%,,
S7,9:00-9:15,31.13%,,
S7,9:15-9:30,41.62%,,
S7,9:30-9:45,21.13%,,
S7,9:45-10:00,28.65%,,
S8,8:00-8:15,7.43%,,
S8,8:15-8:30,17.75%,,
S8,8:30-8:45,25.26%,,
S8,8:45-9:00,34.85%,,
S8,9:00-9:15,28.05%,,
S8,9:15-9:30,35.05%,,
S8,9:30-9:45,29.87%,,
S8,9:45-10:00,28.65%,,
S9,8:00-8:15,7.01%,,
S9,8:15-8:30,18.18%,,
S9,8:30-8:45,21.52%,,
S9,8:45-9:00,33.89%,,
S9,9:00-9:15,27.68%,,
S9,9:15-9:30,33.70%,,
S9,9:30-9:45,24.41%,,
S9,9:45-10:00,46.91%,,
