station,time_window,平均离站拥挤度
S1,8:00-8:15,0.00%
S1,8:15-8:30,0.00%
S1,8:30-8:45,0.00%
S1,8:45-9:00,0.00%
S1,9:00-9:15,0.00%
S1,9:15-9:30,0.00%
S1,9:30-9:45,0.00%
S1,9:45-10:00,0.00%
S10,8:00-8:15,18.77%
S10,8:15-8:30,12.65%
S10,8:30-8:45,12.01%
S10,8:45-9:00,12.45%
S10,9:00-9:15,6.27%
S10,9:15-9:30,6.05%
S10,9:30-9:45,5.00%
S10,9:45-10:00,10.64%
S11,8:00-8:15,19.73%
S11,8:15-8:30,16.85%
S11,8:30-8:45,12.62%
S11,8:45-9:00,11.17%
S11,9:00-9:15,7.42%
S11,9:15-9:30,8.99%
S11,9:30-9:45,10.66%
S11,9:45-10:00,18.06%
S12,8:00-8:15,25.04%
S12,8:15-8:30,22.63%
S12,8:30-8:45,20.02%
S12,8:45-9:00,16.77%
S12,9:00-9:15,12.40%
S12,9:15-9:30,8.79%
S12,9:30-9:45,9.85%
S12,9:45-10:00,14.29%
S13,8:00-8:15,34.77%
S13,8:15-8:30,32.72%
S13,8:30-8:45,24.08%
S13,8:45-9:00,24.34%
S13,9:00-9:15,18.92%
S13,9:15-9:30,18.37%
S13,9:30-9:45,19.48%
S13,9:45-10:00,31.27%
S14,8:00-8:15,34.58%
S14,8:15-8:30,35.12%
S14,8:30-8:45,26.99%
S14,8:45-9:00,23.88%
S14,9:00-9:15,19.03%
S14,9:15-9:30,20.24%
S14,9:30-9:45,20.59%
S14,9:45-10:00,30.50%
S15,8:00-8:15,35.68%
S15,8:15-8:30,41.15%
S15,8:30-8:45,26.45%
S15,8:45-9:00,26.46%
S15,9:00-9:15,21.89%
S15,9:15-9:30,27.23%
S15,9:30-9:45,36.88%
S15,9:45-10:00,24.36%
S16,8:00-8:15,35.41%
S16,8:15-8:30,34.80%
S16,8:30-8:45,26.74%
S16,8:45-9:00,26.31%
S16,9:00-9:15,25.73%
S16,9:15-9:30,25.65%
S16,9:30-9:45,42.69%
S16,9:45-10:00,22.10%
S17,8:00-8:15,40.99%
S17,8:15-8:30,31.34%
S17,8:30-8:45,27.70%
S17,8:45-9:00,27.84%
S17,9:00-9:15,25.40%
S17,9:15-9:30,31.76%
S17,9:30-9:45,46.76%
S17,9:45-10:00,19.38%
S18,8:00-8:15,43.85%
S18,8:15-8:30,35.20%
S18,8:30-8:45,24.19%
S18,8:45-9:00,29.00%
S18,9:00-9:15,30.77%
S18,9:15-9:30,31.98%
S18,9:30-9:45,49.36%
S18,9:45-10:00,14.00%
S19,8:00-8:15,47.69%
S19,8:15-8:30,35.39%
S19,8:30-8:45,29.99%
S19,8:45-9:00,30.57%
S19,9:00-9:15,33.00%
S19,9:15-9:30,34.66%
S19,9:30-9:45,49.69%
S19,9:45-10:00,10.88%
S2,8:00-8:15,4.66%
S2,8:15-8:30,6.04%
S2,8:30-8:45,6.64%
S2,8:45-9:00,5.95%
S2,9:00-9:15,7.33%
S2,9:15-9:30,6.66%
S2,9:30-9:45,6.72%
S2,9:45-10:00,5.38%
S21,8:00-8:15,52.21%
S21,8:15-8:30,36.16%
S21,8:30-8:45,34.28%
S21,8:45-9:00,32.35%
S21,9:00-9:15,34.90%
S21,9:15-9:30,51.61%
S21,9:30-9:45,41.25%
S21,9:45-10:00,9.76%
S22,8:00-8:15,47.36%
S22,8:15-8:30,37.87%
S22,8:30-8:45,40.84%
S22,8:45-9:00,32.64%
S22,9:00-9:15,38.19%
S22,9:15-9:30,61.13%
S22,9:30-9:45,38.74%
S22,9:45-10:00,8.46%
S3,8:00-8:15,4.26%
S3,8:15-8:30,8.33%
S3,8:30-8:45,8.71%
S3,8:45-9:00,12.57%
S3,9:00-9:15,8.51%
S3,9:15-9:30,5.21%
S3,9:30-9:45,2.17%
S3,9:45-10:00,1.30%
S4,8:00-8:15,6.01%
S4,8:15-8:30,6.32%
S4,8:30-8:45,3.71%
S4,8:45-9:00,5.63%
S4,9:00-9:15,3.11%
S4,9:15-9:30,3.45%
S4,9:30-9:45,3.44%
S4,9:45-10:00,2.39%
S5,8:00-8:15,11.21%
S5,8:15-8:30,14.49%
S5,8:30-8:45,19.78%
S5,8:45-9:00,26.59%
S5,9:00-9:15,18.45%
S5,9:15-9:30,11.02%
S5,9:30-9:45,4.90%
S5,9:45-10:00,1.71%
S6,8:00-8:15,6.23%
S6,8:15-8:30,4.70%
S6,8:30-8:45,10.00%
S6,8:45-9:00,5.19%
S6,9:00-9:15,4.95%
S6,9:15-9:30,5.17%
S6,9:30-9:45,5.24%
S6,9:45-10:00,4.62%
S7,8:00-8:15,10.07%
S7,8:15-8:30,9.49%
S7,8:30-8:45,14.20%
S7,8:45-9:00,14.85%
S7,9:00-9:15,9.63%
S7,9:15-9:30,7.18%
S7,9:30-9:45,3.97%
S7,9:45-10:00,3.08%
S8,8:00-8:15,10.89%
S8,8:15-8:30,9.67%
S8,8:30-8:45,15.96%
S8,8:45-9:00,16.62%
S8,9:00-9:15,10.25%
S8,9:15-9:30,6.51%
S8,9:30-9:45,2.27%
S8,9:45-10:00,2.27%
S9,8:00-8:15,14.48%
S9,8:15-8:30,11.69%
S9,8:30-8:45,14.53%
S9,8:45-9:00,13.70%
S9,9:00-9:15,7.41%
S9,9:15-9:30,5.78%
S9,9:30-9:45,4.04%
S9,9:45-10:00,6.64%
