train_number,train_time,station,station_order,time_window,到站时列车乘客数,下车人数,期望上车人数,累积未上车人数,实际上车需求,上车人数,未上车人数,离站时列车乘客数,拥挤度
48,08:00:45,S22,21,8:00-8:15,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
50,08:02:05,S21,20,8:00-8:15,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
50,08:04:00,S22,21,8:00-8:15,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
52,08:00:20,S19,18,8:00-8:15,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
52,08:02:40,S20,19,8:00-8:15,0.0,0.0,4,0.0,4.0,4.0,0.0,4.0,0.27
52,08:05:15,S21,20,8:00-8:15,4.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0
52,08:07:10,S22,21,8:00-8:15,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
54,08:00:40,S18,17,8:00-8:15,0.0,0.0,1,0.0,1.0,1.0,0.0,1.0,0.07
54,08:03:35,S19,18,8:00-8:15,1.0,1.0,6,0.0,6.0,6.0,0.0,6.0,0.41
54,08:05:55,S20,19,8:00-8:15,6.0,6.0,5,0.0,5.0,5.0,0.0,5.0,0.34
54,08:08:30,S21,20,8:00-8:15,5.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0
54,08:10:25,S22,21,8:00-8:15,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
56,08:01:50,S17,16,8:00-8:15,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
56,08:03:55,S18,17,8:00-8:15,0.0,0.0,5,0.0,5.0,5.0,0.0,5.0,0.34
56,08:06:50,S19,18,8:00-8:15,5.0,5.0,4,0.0,4.0,4.0,0.0,4.0,0.27
56,08:09:10,S20,19,8:00-8:15,4.0,4.0,6,0.0,6.0,6.0,0.0,6.0,0.41
56,08:11:45,S21,20,8:00-8:15,6.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0
56,08:13:40,S22,21,8:00-8:15,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
58,08:00:35,S15,14,8:00-8:15,0.0,0.0,4,0.0,4.0,4.0,0.0,4.0,0.27
58,08:02:55,S16,15,8:00-8:15,4.0,4.0,2,0.0,2.0,2.0,0.0,2.0,0.14
58,08:05:00,S17,16,8:00-8:15,2.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0
58,08:07:05,S18,17,8:00-8:15,0.0,0.0,4,0.0,4.0,4.0,0.0,4.0,0.27
58,08:10:00,S19,18,8:00-8:15,4.0,4.0,7,0.0,7.0,7.0,0.0,7.0,0.47
58,08:12:20,S20,19,8:00-8:15,7.0,7.0,6,0.0,6.0,6.0,0.0,6.0,0.41
58,08:14:55,S21,20,8:00-8:15,6.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0
58,08:16:50,S22,21,8:15-8:30,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
60,08:01:25,S14,13,8:00-8:15,0.0,0.0,17,0.0,17.0,17.0,0.0,17.0,1.15
60,08:03:40,S15,14,8:00-8:15,17.0,17.0,26,0.0,26.0,26.0,0.0,26.0,1.76
60,08:06:00,S16,15,8:00-8:15,26.0,26.0,4,0.0,4.0,4.0,0.0,4.0,0.27
