train_number,train_time,station,station_order,time_window,到站时列车乘客数,下车人数,期望上车人数,累积未上车人数,实际上车需求,上车人数,未上车人数,离站时列车乘客数,拥挤度
37,08:04:25,S1,0,8:00-8:15,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
37,08:01:45,S2,1,8:00-8:15,0.0,0.0,35,0.0,35.0,35.0,0.0,35.0,2.36
39,08:09:25,S1,0,8:00-8:15,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
39,08:06:45,S2,1,8:00-8:15,0.0,0.0,70,0.0,70.0,70.0,0.0,70.0,4.73
39,08:04:15,S3,2,8:00-8:15,70.0,70.0,38,0.0,38.0,38.0,0.0,38.0,2.57
39,08:00:50,S4,3,8:00-8:15,38.0,38.0,6,0.0,6.0,6.0,0.0,6.0,0.41
43,08:15:50,S1,0,8:15-8:30,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
43,08:13:10,S2,1,8:00-8:15,0.0,0.0,102,0.0,102.0,102.0,0.0,102.0,6.89
43,08:10:40,S3,2,8:00-8:15,102.0,102.0,88,0.0,88.0,88.0,0.0,88.0,5.95
43,08:07:15,S4,3,8:00-8:15,88.0,52.0,54,0.0,54.0,54.0,0.0,90.0,6.08
43,08:04:50,S5,4,8:00-8:15,90.0,90.0,130,0.0,130.0,130.0,0.0,130.0,8.78
45,08:01:40,S6,5,8:00-8:15,0.0,0.0,41,0.0,41.0,41.0,0.0,41.0,2.77
47,08:22:05,S1,0,8:15-8:30,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
47,08:19:25,S2,1,8:15-8:30,0.0,0.0,82,0.0,82.0,82.0,0.0,82.0,5.54
47,08:16:55,S3,2,8:15-8:30,82.0,82.0,115,0.0,115.0,115.0,0.0,115.0,7.77
47,08:13:30,S4,3,8:00-8:15,115.0,0.0,56,0.0,56.0,56.0,0.0,171.0,11.55
47,08:11:05,S5,4,8:00-8:15,171.0,134.0,165,0.0,165.0,165.0,0.0,202.0,13.65
47,08:04:50,S6,5,8:00-8:15,202.0,202.0,64,0.0,64.0,64.0,0.0,64.0,4.32
47,08:02:15,S7,6,8:00-8:15,64.0,64.0,70,0.0,70.0,70.0,0.0,70.0,4.73
47,08:00:00,S8,7,8:00-8:15,70.0,70.0,0,0.0,0.0,0.0,0.0,0.0,0.0
49,08:08:00,S6,5,8:00-8:15,0.0,0.0,73,0.0,73.0,73.0,0.0,73.0,4.93
49,08:05:25,S7,6,8:00-8:15,73.0,73.0,106,0.0,106.0,106.0,0.0,106.0,7.16
49,08:03:10,S8,7,8:00-8:15,106.0,106.0,81,0.0,81.0,81.0,0.0,81.0,5.47
49,08:01:05,S9,8,8:00-8:15,81.0,81.0,23,0.0,23.0,23.0,0.0,23.0,1.55
51,08:28:25,S1,0,8:15-8:30,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
51,08:25:45,S2,1,8:15-8:30,0.0,0.0,97,0.0,97.0,97.0,0.0,97.0,6.55
51,08:23:15,S3,2,8:15-8:30,97.0,97.0,104,0.0,104.0,104.0,0.0,104.0,7.03
51,08:19:50,S4,3,8:15-8:30,104.0,104.0,58,0.0,58.0,58.0,0.0,58.0,3.92
51,08:17:25,S5,4,8:15-8:30,58.0,58.0,171,0.0,171.0,171.0,0.0,171.0,11.55
51,08:11:10,S6,5,8:00-8:15,171.0,42.0,85,0.0,85.0,85.0,0.0,214.0,14.46
51,08:08:35,S7,6,8:00-8:15,214.0,49.0,85,0.0,85.0,85.0,0.0,250.0,16.89
51,08:06:20,S8,7,8:00-8:15,250.0,134.0,90,0.0,90.0,90.0,0.0,206.0,13.92
51,08:04:15,S9,8,8:00-8:15,206.0,20.0,57,0.0,57.0,57.0,0.0,243.0,16.42
51,08:02:30,S10,9,8:00-8:15,243.0,55.0,19,0.0,19.0,19.0,0.0,207.0,13.99
51,08:00:10,S11,10,8:00-8:15,207.0,136.0,4,0.0,4.0,4.0,0.0,75.0,5.07
53,08:14:15,S6,5,8:00-8:15,0.0,0.0,69,0.0,69.0,69.0,0.0,69.0,4.66
53,08:11:40,S7,6,8:00-8:15,69.0,0.0,101,0.0,101.0,101.0,0.0,170.0,11.49
53,08:09:25,S8,7,8:00-8:15,170.0,0.0,93,0.0,93.0,93.0,0.0,263.0,17.77
53,08:07:20,S9,8,8:00-8:15,263.0,0.0,68,0.0,68.0,68.0,0.0,331.0,22.36
53,08:05:35,S10,9,8:00-8:15,331.0,0.0,35,0.0,35.0,35.0,0.0,366.0,24.73
53,08:03:15,S11,10,8:00-8:15,366.0,0.0,125,0.0,125.0,125.0,0.0,491.0,33.18
53,08:01:15,S12,11,8:00-8:15,491.0,182.0,60,0.0,60.0,60.0,0.0,369.0,24.93
55,08:35:05,S1,0,8:30-8:45,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
55,08:32:25,S2,1,8:30-8:45,0.0,0.0,98,0.0,98.0,98.0,0.0,98.0,6.62
55,08:29:55,S3,2,8:15-8:30,98.0,98.0,151,0.0,151.0,151.0,0.0,151.0,10.2
55,08:26:30,S4,3,8:15-8:30,151.0,75.0,53,0.0,53.0,53.0,0.0,129.0,8.72
55,08:24:05,S5,4,8:15-8:30,129.0,129.0,258,0.0,258.0,258.0,0.0,258.0,17.43
55,08:17:50,S6,5,8:15-8:30,258.0,258.0,74,0.0,74.0,74.0,0.0,74.0,5.0
55,08:15:15,S7,6,8:15-8:30,74.0,74.0,141,0.0,141.0,141.0,0.0,141.0,9.53
55,08:13:00,S8,7,8:00-8:15,141.0,0.0,115,0.0,115.0,115.0,0.0,256.0,17.3
55,08:10:55,S9,8,8:00-8:15,256.0,0.0,64,0.0,64.0,64.0,0.0,320.0,21.62
55,08:09:10,S10,9,8:00-8:15,320.0,0.0,31,0.0,31.0,31.0,0.0,351.0,23.72
55,08:06:50,S11,10,8:00-8:15,351.0,0.0,112,0.0,112.0,112.0,0.0,463.0,31.28
55,08:04:50,S12,11,8:00-8:15,463.0,0.0,119,0.0,119.0,119.0,0.0,582.0,39.32
55,08:02:55,S13,12,8:00-8:15,582.0,57.0,163,0.0,163.0,163.0,0.0,688.0,46.49
55,08:01:10,S14,13,8:00-8:15,688.0,103.0,33,0.0,33.0,33.0,0.0,618.0,41.76
57,08:20:40,S6,5,8:15-8:30,0.0,0.0,49,0.0,49.0,49.0,0.0,49.0,3.31
57,08:18:05,S7,6,8:15-8:30,49.0,49.0,136,0.0,136.0,136.0,0.0,136.0,9.19
57,08:15:50,S8,7,8:15-8:30,136.0,136.0,101,0.0,101.0,101.0,0.0,101.0,6.82
57,08:13:45,S9,8,8:00-8:15,101.0,0.0,54,0.0,54.0,54.0,0.0,155.0,10.47
57,08:12:00,S10,9,8:00-8:15,155.0,0.0,32,0.0,32.0,32.0,0.0,187.0,12.64
57,08:09:40,S11,10,8:00-8:15,187.0,0.0,96,0.0,96.0,96.0,0.0,283.0,19.12
57,08:07:40,S12,11,8:00-8:15,283.0,0.0,110,0.0,110.0,110.0,0.0,393.0,26.55
57,08:05:45,S13,12,8:00-8:15,393.0,0.0,129,0.0,129.0,129.0,0.0,522.0,35.27
57,08:04:00,S14,13,8:00-8:15,522.0,0.0,75,0.0,75.0,75.0,0.0,597.0,40.34
57,08:01:30,S15,14,8:00-8:15,597.0,52.0,40,0.0,40.0,40.0,0.0,585.0,39.53
59,08:41:05,S1,0,8:30-8:45,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
59,08:38:25,S2,1,8:30-8:45,0.0,0.0,79,0.0,79.0,79.0,0.0,79.0,5.34
59,08:35:55,S3,2,8:30-8:45,79.0,79.0,147,0.0,147.0,147.0,0.0,147.0,9.93
59,08:32:30,S4,3,8:30-8:45,147.0,147.0,41,0.0,41.0,41.0,0.0,41.0,2.77
59,08:30:05,S5,4,8:30-8:45,41.0,41.0,219,0.0,219.0,219.0,0.0,219.0,14.8
59,08:23:50,S6,5,8:15-8:30,219.0,219.0,75,0.0,75.0,75.0,0.0,75.0,5.07
59,08:21:15,S7,6,8:15-8:30,75.0,75.0,127,0.0,127.0,127.0,0.0,127.0,8.58
59,08:19:00,S8,7,8:15-8:30,127.0,127.0,139,0.0,139.0,139.0,0.0,139.0,9.39
59,08:16:55,S9,8,8:15-8:30,139.0,139.0,45,0.0,45.0,45.0,0.0,45.0,3.04
59,08:15:10,S10,9,8:15-8:30,45.0,45.0,37,0.0,37.0,37.0,0.0,37.0,2.5
59,08:12:50,S11,10,8:00-8:15,37.0,0.0,111,0.0,111.0,111.0,0.0,148.0,10.0
59,08:10:50,S12,11,8:00-8:15,148.0,0.0,105,0.0,105.0,105.0,0.0,253.0,17.09
